Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,413.440002,417.350006,412.320007,414.920013,413.427795,17596000
2024-03-05,413.959991,414.250000,400.640015,402.649994,401.201874,26919200
2024-03-06,402.970001,405.160004,398.390015,402.089996,400.643890,22344100
2024-03-07,406.119995,409.779999,402.239990,409.140015,407.668610,18718500
2024-03-08,407.959991,410.420013,404.329987,406.220001,404.759064,17971700
2024-03-11,403.760010,405.679993,401.260010,404.519989,403.065155,16120800
2024-03-12,407.619995,415.570007,406.790009,415.279999,413.786469,22457000
2024-03-13,418.100006,418.179993,411.450012,415.100006,413.607147,17115900
2024-03-14,420.239990,427.820007,417.989990,425.220001,423.690735,34157300
2024-03-15,419.290009,422.600006,412.790009,416.420013,414.922394,45049800
2024-03-18,414.250000,420.730011,413.779999,417.320007,415.819153,20106000
2024-03-19,417.829987,421.670013,415.549988,421.410004,419.894440,19837900
2024-03-20,422.000000,425.959991,420.660004,425.230011,423.700714,17860100
2024-03-21,429.829987,430.820007,427.160004,429.369995,427.825806,21296200
2024-03-22,429.700012,429.859985,426.070007,428.739990,427.198059,17636500
2024-03-25,425.239990,427.410004,421.609985,422.859985,421.339203,18060500
2024-03-26,425.609985,425.989990,421.350006,421.649994,420.133545,16725600
2024-03-27,424.440002,424.450012,419.010010,421.429993,419.914337,16705000
2024-03-28,420.959991,421.869995,419.119995,420.720001,419.206909,21871200
2024-04-01,423.950012,427.890015,422.220001,424.570007,423.043091,16316000
2024-04-02,420.109985,422.380005,417.839996,421.440002,419.924347,17912000
2024-04-03,419.730011,423.260010,419.089996,420.450012,418.937897,16502300
2024-04-04,424.989990,428.670013,417.570007,417.880005,416.377136,19370900
2024-04-05,420.010010,426.510010,418.320007,425.519989,423.989655,16544300
2024-04-08,425.170013,427.279999,423.299988,424.589996,423.062988,14272400
2024-04-09,426.440002,427.739990,421.619995,426.279999,424.746918,12512300
2024-04-10,422.190002,424.029999,419.700012,423.260010,421.737793,16216600
2024-04-11,425.820007,429.369995,422.359985,427.929993,426.390991,17966400
2024-04-12,424.049988,425.179993,419.769989,421.899994,420.382690,19232100
2024-04-15,426.600006,426.820007,413.429993,413.640015,412.152405,20273500
2024-04-16,414.570007,418.399994,413.730011,414.579987,413.088989,16765600
2024-04-17,417.250000,418.880005,410.329987,411.839996,410.358856,15855500
2024-04-18,410.630005,411.890015,403.950012,404.269989,402.816071,21029900
2024-04-19,404.029999,405.480011,397.769989,399.119995,397.684601,30276500
2024-04-22,400.079987,402.850006,395.750000,400.959991,399.517975,20286900
2024-04-23,404.239990,408.200012,403.059998,407.570007,406.104218,15734500
2024-04-24,409.559998,412.470001,406.779999,409.059998,407.588837,15065300
2024-04-25,394.029999,399.890015,388.029999,399.040009,397.604889,40586500
2024-04-26,412.170013,413.000000,405.760010,406.320007,404.858734,29694700
2024-04-29,405.250000,406.320007,399.190002,402.250000,400.803345,19582100
2024-04-30,401.489990,402.160004,389.170013,389.329987,387.929779,28781400
2024-05-01,392.609985,401.720001,390.309998,394.940002,393.519623,23562500
2024-05-02,397.660004,399.929993,394.649994,397.839996,396.409210,17709400
2024-05-03,402.279999,407.149994,401.859985,406.660004,405.197479,17446700
2024-05-06,408.760010,413.929993,406.369995,413.540009,412.052765,16996600
2024-05-07,414.660004,414.670013,409.089996,409.339996,407.867859,20018200
2024-05-08,408.170013,412.230011,406.709991,410.540009,409.063538,11792300
2024-05-09,410.570007,412.720001,409.100006,412.320007,410.837128,14689700
2024-05-10,412.940002,415.380005,411.799988,414.739990,413.248413,13402300
