Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,84.129997,87.695000,83.719002,85.237000,85.225998,615616000
2024-03-05,85.269997,86.097000,83.417000,85.963997,85.956940,520639000
2024-03-06,88.022003,89.723999,87.029999,88.699997,88.692711,582520000
2024-03-07,90.157997,92.766998,89.601997,92.668999,92.661385,608119000
2024-03-08,95.138000,97.400002,86.505997,87.528000,87.520813,1142269000
2024-03-11,86.429001,88.796997,84.166000,85.774002,85.766960,678364000
2024-03-12,88.049004,91.959999,86.150002,91.913002,91.905449,668075000
2024-03-13,91.055000,91.503998,88.434998,90.888000,90.880539,635713000
2024-03-14,89.577003,90.646004,86.599998,87.944000,87.936775,602318000
2024-03-15,86.930000,89.545998,86.257004,87.836998,87.829781,642086000
2024-03-18,90.388000,92.404999,87.084999,88.455002,88.447739,668976000
2024-03-19,86.699997,90.543999,85.010002,89.398003,89.390663,672171000
2024-03-20,89.796997,90.410004,88.223000,90.372002,90.364578,479063000
2024-03-21,92.300003,92.648003,90.404999,91.434998,91.427490,480372000
2024-03-22,91.140999,94.778000,90.834000,94.289001,94.281258,586719000
2024-03-25,93.941002,96.765999,93.510002,95.001999,94.994194,552136000
2024-03-26,95.850998,96.375000,92.501999,92.560997,92.553398,513648000
2024-03-27,93.112000,93.239998,89.123001,90.250000,90.242584,586067000
2024-03-28,90.000000,91.300003,89.193001,90.356003,90.348579,435212000
2024-04-01,90.299004,92.224998,89.204002,90.362999,90.355576,452441000
2024-04-02,88.447998,90.094002,87.620003,89.452003,89.444656,433064000
2024-04-03,88.484001,90.374001,88.400002,88.963997,88.956688,370067000
2024-04-04,90.405998,90.634003,85.879997,85.904999,85.897942,434965000
2024-04-05,86.865997,88.481003,85.926003,88.008003,88.000778,399678000
2024-04-08,88.699997,88.830002,86.732002,87.133003,87.125847,283220000
2024-04-09,87.442001,87.635002,83.022003,85.353996,85.346985,503547000
2024-04-10,83.926003,87.400002,83.709000,87.039001,87.031853,431929000
2024-04-11,87.419998,90.738998,86.926003,90.615997,90.608551,431637000
2024-04-12,89.698997,90.175003,87.529999,88.185997,88.178757,426805000
2024-04-15,89.098000,90.612999,85.929001,86.000999,85.993935,443077000
2024-04-16,86.432999,88.117996,86.064003,87.415001,87.407822,370453000
2024-04-17,88.339996,88.775002,83.949997,84.035004,84.028099,495400000
2024-04-18,84.970001,86.190002,82.402000,84.670998,84.664040,447260000
2024-04-19,83.150002,84.323997,75.606003,76.199997,76.193741,875198000
2024-04-22,78.103996,80.072998,76.400002,79.517998,79.511467,596341000
2024-04-23,80.768997,82.768997,80.264000,82.422997,82.416229,438559000
